"Asset","SourcePath","Class","Disposition","Risk","VerificationMethod","EvidencePath","EvidenceLine"
"STAGE_GATE_EVALUATION.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C5\STAGE_GATE_EVALUATION.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C5\STAGE_GATE_EVALUATION.md","190"
"DATA_FLOW_REDESIGN.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\DATA_FLOW_REDESIGN.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\DATA_FLOW_REDESIGN.md","1"
"HIERARCHY_REDESIGN.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\HIERARCHY_REDESIGN.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\HIERARCHY_REDESIGN.md","1"
"OWNERSHIP_MATRIX.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\OWNERSHIP_MATRIX.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C6\OWNERSHIP_MATRIX.md","1"
"FEATURE_DESIGN_SPECS.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C7\FEATURE_DESIGN_SPECS.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C7\FEATURE_DESIGN_SPECS.md","1"
"TECH_STACK_DECISION_MATRIX.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C8\TECH_STACK_DECISION_MATRIX.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C8\TECH_STACK_DECISION_MATRIX.md","1"
"DOCUMENTATION_RETROFIT_PRIORITIES.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\DOCUMENTATION_RETROFIT_PRIORITIES.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\DOCUMENTATION_RETROFIT_PRIORITIES.md","1"
"ENFORCER_DOCUMENTATION_SPEC.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\ENFORCER_DOCUMENTATION_SPEC.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\ENFORCER_DOCUMENTATION_SPEC.md","1"
"REVIEW_SYNC_CADENCE.md","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\REVIEW_SYNC_CADENCE.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_AUDIT_SANDBOX\meta_execution_program\cycle_outputs\C9\REVIEW_SYNC_CADENCE.md","1"
"aryabhatta.agent.md","F:\BUTLER_ROOT\.github\agents\aryabhatta.agent.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\agents\aryabhatta.agent.md","1"
"chanakya.agent.md","F:\BUTLER_ROOT\.github\agents\chanakya.agent.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\agents\chanakya.agent.md","1"
"verify.agent.md","F:\BUTLER_ROOT\.github\agents\verify.agent.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\agents\verify.agent.md","1"
"copilot-instructions.md","F:\BUTLER_ROOT\.github\copilot-instructions.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\.github\copilot-instructions.md","29"
"customizations-faillog.md","F:\BUTLER_ROOT\.github\customizations-faillog.md","historical","Archive","Snapshot bias if treated as current truth","Reference-only archival use","F:\BUTLER_ROOT\.github\customizations-faillog.md","1"
"policy-hooks.json","F:\BUTLER_ROOT\.github\hooks\policy-hooks.json","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\.github\hooks\policy-hooks.json","1"
"pretool-commit-guard.ps1","F:\BUTLER_ROOT\.github\hooks\scripts\pretool-commit-guard.ps1","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\scripts\pretool-commit-guard.ps1","1"
"pretool-file-ownership-guard.ps1","F:\BUTLER_ROOT\.github\hooks\scripts\pretool-file-ownership-guard.ps1","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\scripts\pretool-file-ownership-guard.ps1","1"
"promptboost-on-submit.ps1","F:\BUTLER_ROOT\.github\hooks\scripts\promptboost-on-submit.ps1","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\scripts\promptboost-on-submit.ps1","1"
"session-start.ps1","F:\BUTLER_ROOT\.github\hooks\scripts\session-start.ps1","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\scripts\session-start.ps1","1"
"stop-release-file-locks.ps1","F:\BUTLER_ROOT\.github\hooks\scripts\stop-release-file-locks.ps1","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\scripts\stop-release-file-locks.ps1","1"
".gitkeep","F:\BUTLER_ROOT\.github\hooks\state\.gitkeep","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\hooks\state\.gitkeep","1"
"execution-commit.instructions.md","F:\BUTLER_ROOT\.github\instructions\execution-commit.instructions.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\.github\instructions\execution-commit.instructions.md","1"
"planning-contract.instructions.md","F:\BUTLER_ROOT\.github\instructions\planning-contract.instructions.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\.github\instructions\planning-contract.instructions.md","1"
"verification-gates.instructions.md","F:\BUTLER_ROOT\.github\instructions\verification-gates.instructions.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\.github\instructions\verification-gates.instructions.md","1"
"00-DEPLOYMENT-COMPLETE.md","F:\BUTLER_ROOT\.github\skills\model-select\00-DEPLOYMENT-COMPLETE.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\00-DEPLOYMENT-COMPLETE.md","1"
"DEPLOYMENT.md","F:\BUTLER_ROOT\.github\skills\model-select\DEPLOYMENT.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\DEPLOYMENT.md","1"
"DEPLOYMENT-MANIFEST.md","F:\BUTLER_ROOT\.github\skills\model-select\DEPLOYMENT-MANIFEST.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\DEPLOYMENT-MANIFEST.md","1"
"evals.json","F:\BUTLER_ROOT\.github\skills\model-select\evals\evals.json","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\evals\evals.json","1"
"stress-test-q2dm.md","F:\BUTLER_ROOT\.github\skills\model-select\evals\stress-test-q2dm.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\evals\stress-test-q2dm.md","1"
"shivansh-current-runtime.yaml","F:\BUTLER_ROOT\.github\skills\model-select\profiles\shivansh-current-runtime.yaml","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\profiles\shivansh-current-runtime.yaml","1"
"README.md","F:\BUTLER_ROOT\.github\skills\model-select\README.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\README.md","1"
"rubric.md","F:\BUTLER_ROOT\.github\skills\model-select\references\rubric.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\references\rubric.md","1"
"sources.md","F:\BUTLER_ROOT\.github\skills\model-select\references\sources.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\references\sources.md","1"
"SKILL.md","F:\BUTLER_ROOT\.github\skills\model-select\SKILL.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\SKILL.md","1"
"access-profile.example.yaml","F:\BUTLER_ROOT\.github\skills\model-select\templates\access-profile.example.yaml","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\templates\access-profile.example.yaml","1"
"intake-template.md","F:\BUTLER_ROOT\.github\skills\model-select\templates\intake-template.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\model-select\templates\intake-template.md","1"
"rubric.md","F:\BUTLER_ROOT\.github\skills\scavenge\references\rubric.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\scavenge\references\rubric.md","1"
"SKILL.md","F:\BUTLER_ROOT\.github\skills\scavenge\SKILL.md","advisory","Adapt","Legacy coupling if directly ported","Adapt via interface mapping and gate checks","F:\BUTLER_ROOT\.github\skills\scavenge\SKILL.md","1"
"EXECUTION_CHANGELOG.md","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\EXECUTION_CHANGELOG.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\EXECUTION_CHANGELOG.md","5"
"EXECUTION_CONTROLS.md","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\EXECUTION_CONTROLS.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\EXECUTION_CONTROLS.md","36"
"PHASE_CONTEXT_CHECKPOINTS.md","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\PHASE_CONTEXT_CHECKPOINTS.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\PHASE_CONTEXT_CHECKPOINTS.md","17"
"SESSION_HANDOFF.md","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\SESSION_HANDOFF.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\01_PERSONAL\Personal_Dashboard\docs\planning\SESSION_HANDOFF.md","57"
"AGENTS.md","F:\BUTLER_ROOT\AGENTS.md","authoritative","Keep","Policy drift or stale baseline","Direct read with anchored line verification","F:\BUTLER_ROOT\AGENTS.md","11"
